varna,devanagari,translit,place,manner,voicing,aspiration,active_status,rendered_in_facet_map,pole,pole_text,provenance_status,flags,source_location
ba,ब,ba,labial,stop,voiced,unaspirated,ACTIVE,True,binding,avajñā — neglect / disregard of what actually has value; indifference misapplied so that genuine worth goes unattended,PRIMARY_ATTESTED,,frozen/varna_polarity_table_v3.json#varnas.ba
ba,ब,ba,labial,stop,voiced,unaspirated,ACTIVE,True,liberating,regard that recognizes and attends to worth — giving due attention to what has value (and reserving indifference/upekṣā only for the truly unacceptable),AUTHORED_PROVISIONAL,,frozen/varna_polarity_table_v3.json#varnas.ba
bha,भ,bha,labial,stop,voiced,aspirated,INACTIVE,False,binding,"mūrcchā — hypnotic entrancement, the loss of common sense / discernment under the spell of a ripu (deluded obsession that suspends judgment)",PRIMARY_ATTESTED,,frozen/varna_polarity_table_v3.json#varnas.bha
bha,भ,bha,labial,stop,voiced,aspirated,INACTIVE,False,liberating,"breaking the entrancing spell into clear sense — withdrawing the mind (pratyāhāra) along the path of righteousness, no longer spellbound (aided by kīrtana / devotional song)",INFERRED,,frozen/varna_polarity_table_v3.json#varnas.bha
ca,च,ca,palatal,stop,unvoiced,unaspirated,ACTIVE,False,binding,viveka distorted — discernment hardening into judgmentalism / separation-pride (discrimination used to feel superior to others),AUTHORED_PROVISIONAL,,frozen/varna_polarity_table_v3.json#varnas.ca
ca,च,ca,palatal,stop,unvoiced,unaspirated,ACTIVE,False,liberating,"falsehood-discerning insight without egoic superiority — clear conscience distinguishing real from unreal, held without pride",AUTHORED_PROVISIONAL,,frozen/varna_polarity_table_v3.json#varnas.ca
cha,छ,cha,palatal,stop,unvoiced,aspirated,INACTIVE,False,binding,collapse of mental function under strain — the mind that had functioned properly begins to malfunction or stops altogether,PRIMARY_ATTESTED,,frozen/varna_polarity_table_v3.json#varnas.cha
cha,छ,cha,palatal,stop,unvoiced,aspirated,INACTIVE,False,liberating,steadiness that keeps mental function intact under load — holding the mind operational under a strain that would otherwise break it,AUTHORED_PROVISIONAL,,frozen/varna_polarity_table_v3.json#varnas.cha
da,द,da,dental,stop,voiced,unaspirated,ACTIVE,True,binding,"peevishness / reactive irritability — perverse, contrary reactivity discharged at others (taking offence at kindness, calm under harshness)",PRIMARY_ATTESTED,,frozen/varna_polarity_table_v3.json#varnas.da
da,द,da,dental,stop,voiced,unaspirated,ACTIVE,True,liberating,"forbearance that absorbs provocation — an even, unreactive temper that does not discharge irritation",AUTHORED_PROVISIONAL,,frozen/varna_polarity_table_v3.json#varnas.da
