benchmark,seed,decoder,question_id,predicted,correct,latency_s,scores
mock,0,vanilla,0,0,True,0.000988731999996162,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,vanilla,1,1,False,0.0006092070000249805,"[-60.00000022169442, -1.788139396552426e-07]"
mock,0,vanilla,2,1,False,0.0006132830000069589,"[-60.00000022169442, -1.788139396552426e-07]"
mock,0,vanilla,3,0,True,0.0005737650000128269,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,vanilla,4,1,False,0.0005862979999164963,"[-60.00000022169442, -1.788139396552426e-07]"
mock,0,vanilla,5,1,False,0.0005667719999564724,"[-60.00000022169442, -1.788139396552426e-07]"
mock,0,vanilla,6,0,True,0.0006235280000055354,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,vanilla,7,1,False,0.0005287270000735589,"[-60.00000022169442, -1.788139396552426e-07]"
mock,0,vanilla,8,1,False,0.0006098869999959788,"[-60.00000022169442, -1.788139396552426e-07]"
mock,0,vanilla,9,0,True,0.0005656990000488804,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,vanilla,10,1,False,0.0007961480000631127,"[-60.00000022169442, -1.788139396552426e-07]"
mock,0,vanilla,11,1,False,0.0005952679999836619,"[-60.00000022169442, -1.788139396552426e-07]"
mock,0,vanilla,12,0,True,0.0005887790000542736,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,vanilla,13,1,False,0.000486491000060596,"[-60.00000022169442, -1.788139396552426e-07]"
mock,0,vanilla,14,1,False,0.0006965369999534232,"[-60.00000022169442, -1.788139396552426e-07]"
mock,0,vanilla,15,0,True,0.0005374639999899955,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,vanilla,16,1,False,0.0005699299999832874,"[-60.00000022169442, -1.788139396552426e-07]"
mock,0,vanilla,17,1,False,0.0006102749999854495,"[-60.00000022169442, -1.788139396552426e-07]"
mock,0,vanilla,18,0,True,0.0005213539999431305,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,vanilla,19,1,False,0.0005508169999757229,"[-60.00000022169442, -1.788139396552426e-07]"
mock,0,vanilla,20,1,False,0.0006094479999774194,"[-60.00000022169442, -1.788139396552426e-07]"
mock,0,vanilla,21,0,True,0.0006198190000077375,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,vanilla,22,1,False,0.0005225859999882232,"[-60.00000022169442, -1.788139396552426e-07]"
mock,0,vanilla,23,1,False,0.0008462219999501031,"[-60.00000022169442, -1.788139396552426e-07]"
mock,0,vanilla,24,0,True,0.0006461689999923692,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,vanilla,25,1,False,0.0005422739999403348,"[-60.00000022169442, -1.788139396552426e-07]"
mock,0,vanilla,26,1,False,0.0005199249999350286,"[-60.00000022169442, -1.788139396552426e-07]"
mock,0,vanilla,27,0,True,0.000537842999960958,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,vanilla,28,1,False,0.000538213000027099,"[-60.00000022169442, -1.788139396552426e-07]"
mock,0,vanilla,29,1,False,0.0005727469999783352,"[-60.00000022169442, -1.788139396552426e-07]"
mock,0,vanilla,30,0,True,0.0005466540000043096,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,vanilla,31,1,False,0.0005696650000572845,"[-60.00000022169442, -1.788139396552426e-07]"
mock,0,vanilla,32,1,False,0.0006407590000208074,"[-60.00000022169442, -1.788139396552426e-07]"
mock,0,vanilla,33,0,True,0.0004884869999841612,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,vanilla,34,1,False,0.0005943869999782692,"[-60.00000022169442, -1.788139396552426e-07]"
mock,0,vanilla,35,1,False,0.00051915899996402,"[-60.00000022169442, -1.788139396552426e-07]"
mock,0,vanilla,36,0,True,0.000585742999987815,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,vanilla,37,1,False,0.0004934410000032585,"[-60.00000022169442, -1.788139396552426e-07]"
mock,0,vanilla,38,1,False,0.0006314829998927962,"[-60.00000022169442, -1.788139396552426e-07]"
mock,0,vanilla,39,0,True,0.0005404539999744884,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,vanilla,40,1,False,0.0005259150000256341,"[-60.00000022169442, -1.788139396552426e-07]"
mock,0,vanilla,41,1,False,0.0005976019999707205,"[-60.00000022169442, -1.788139396552426e-07]"
mock,0,vanilla,42,0,True,0.000524488999985806,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,vanilla,43,1,False,0.000568449000070359,"[-60.00000022169442, -1.788139396552426e-07]"
mock,0,vanilla,44,1,False,0.0005668360000754546,"[-60.00000022169442, -1.788139396552426e-07]"
mock,0,vanilla,45,0,True,0.0005956929999229033,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,vanilla,46,1,False,0.000501624999969863,"[-60.00000022169442, -1.788139396552426e-07]"
mock,0,vanilla,47,1,False,0.0006015669999897,"[-60.00000022169442, -1.788139396552426e-07]"
mock,0,conventional_blend,0,0,True,0.0009814329999926485,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,conventional_blend,1,0,True,0.0007124859999976252,"[-1.2163955000467022, -3.295837032451347]"
mock,0,conventional_blend,2,0,True,0.0007794450000346842,"[-1.2163955000467022, -3.295837032451347]"
mock,0,conventional_blend,3,0,True,0.0007274160000179108,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,conventional_blend,4,0,True,0.0006635060000235171,"[-1.2163955000467022, -3.295837032451347]"
mock,0,conventional_blend,5,0,True,0.000859359000060067,"[-1.2163955000467022, -3.295837032451347]"
mock,0,conventional_blend,6,0,True,0.000714951999952973,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,conventional_blend,7,0,True,0.0007467460000043502,"[-1.2163955000467022, -3.295837032451347]"
mock,0,conventional_blend,8,0,True,0.0006646759999284768,"[-1.2163955000467022, -3.295837032451347]"
mock,0,conventional_blend,9,0,True,0.0006877170000052502,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,conventional_blend,10,0,True,0.0006885669999974198,"[-1.2163955000467022, -3.295837032451347]"
mock,0,conventional_blend,11,0,True,0.000652346000038051,"[-1.2163955000467022, -3.295837032451347]"
mock,0,conventional_blend,12,0,True,0.0006939820000297914,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,conventional_blend,13,0,True,0.0006742470000062895,"[-1.2163955000467022, -3.295837032451347]"
mock,0,conventional_blend,14,0,True,0.0007383970000773843,"[-1.2163955000467022, -3.295837032451347]"
mock,0,conventional_blend,15,0,True,0.0007180559999824254,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,conventional_blend,16,0,True,0.0006743019999930766,"[-1.2163955000467022, -3.295837032451347]"
mock,0,conventional_blend,17,0,True,0.0008279440000933391,"[-1.2163955000467022, -3.295837032451347]"
mock,0,conventional_blend,18,0,True,0.0010107909999987896,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,conventional_blend,19,0,True,0.0009786690000055387,"[-1.2163955000467022, -3.295837032451347]"
mock,0,conventional_blend,20,0,True,0.0008532589999958873,"[-1.2163955000467022, -3.295837032451347]"
mock,0,conventional_blend,21,0,True,0.0006504169999743681,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,conventional_blend,22,0,True,0.0008103179999352506,"[-1.2163955000467022, -3.295837032451347]"
mock,0,conventional_blend,23,0,True,0.0007522519999838551,"[-1.2163955000467022, -3.295837032451347]"
mock,0,conventional_blend,24,0,True,0.0006893080000054397,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,conventional_blend,25,0,True,0.0006941300000562478,"[-1.2163955000467022, -3.295837032451347]"
mock,0,conventional_blend,26,0,True,0.0009207690000039292,"[-1.2163955000467022, -3.295837032451347]"
mock,0,conventional_blend,27,0,True,0.0009242820000281426,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,conventional_blend,28,0,True,0.0006926270000349177,"[-1.2163955000467022, -3.295837032451347]"
mock,0,conventional_blend,29,0,True,0.0008106129999987388,"[-1.2163955000467022, -3.295837032451347]"
mock,0,conventional_blend,30,0,True,0.0007130870000082723,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,conventional_blend,31,0,True,0.0006756779999932405,"[-1.2163955000467022, -3.295837032451347]"
mock,0,conventional_blend,32,0,True,0.0007617339999796968,"[-1.2163955000467022, -3.295837032451347]"
mock,0,conventional_blend,33,0,True,0.0007254299999885916,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,conventional_blend,34,0,True,0.0007064229999969029,"[-1.2163955000467022, -3.295837032451347]"
mock,0,conventional_blend,35,0,True,0.0007340529999737555,"[-1.2163955000467022, -3.295837032451347]"
mock,0,conventional_blend,36,0,True,0.0007241609999937282,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,conventional_blend,37,0,True,0.0006993289999854824,"[-1.2163955000467022, -3.295837032451347]"
mock,0,conventional_blend,38,0,True,0.0006720229999928051,"[-1.2163955000467022, -3.295837032451347]"
mock,0,conventional_blend,39,0,True,0.0007006350000438033,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,conventional_blend,40,0,True,0.0006955929999321597,"[-1.2163955000467022, -3.295837032451347]"
mock,0,conventional_blend,41,0,True,0.0007490879999068056,"[-1.2163955000467022, -3.295837032451347]"
mock,0,conventional_blend,42,0,True,0.0007611549999637646,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,conventional_blend,43,0,True,0.0007383079999954134,"[-1.2163955000467022, -3.295837032451347]"
mock,0,conventional_blend,44,0,True,0.0007146410000586911,"[-1.2163955000467022, -3.295837032451347]"
mock,0,conventional_blend,45,0,True,0.000705616999994163,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,conventional_blend,46,0,True,0.0007617400000299313,"[-1.2163955000467022, -3.295837032451347]"
mock,0,conventional_blend,47,0,True,0.0007614990000774924,"[-1.2163955000467022, -3.295837032451347]"
mock,0,bcvf_trust,0,0,True,0.0035474469999599023,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,bcvf_trust,1,0,True,0.0028476549999822964,"[-1.2163955000467028, -3.2958370324513475]"
mock,0,bcvf_trust,2,0,True,0.002821078000010857,"[-1.2163955000467028, -3.2958370324513475]"
mock,0,bcvf_trust,3,0,True,0.002774159000068721,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,bcvf_trust,4,0,True,0.0032326860000466695,"[-1.2163955000467028, -3.2958370324513475]"
mock,0,bcvf_trust,5,0,True,0.0026713870000776296,"[-1.2163955000467028, -3.2958370324513475]"
mock,0,bcvf_trust,6,0,True,0.0028941310000618614,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,bcvf_trust,7,0,True,0.0026496079999560607,"[-1.2163955000467028, -3.2958370324513475]"
mock,0,bcvf_trust,8,0,True,0.002509254999949917,"[-1.2163955000467028, -3.2958370324513475]"
mock,0,bcvf_trust,9,0,True,0.0025678599999992002,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,bcvf_trust,10,0,True,0.0027478599999994913,"[-1.2163955000467028, -3.2958370324513475]"
mock,0,bcvf_trust,11,0,True,0.0026032709999981307,"[-1.2163955000467028, -3.2958370324513475]"
mock,0,bcvf_trust,12,0,True,0.0028952420000223356,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,bcvf_trust,13,0,True,0.002877043000012236,"[-1.2163955000467028, -3.2958370324513475]"
mock,0,bcvf_trust,14,0,True,0.002821171999926264,"[-1.2163955000467028, -3.2958370324513475]"
mock,0,bcvf_trust,15,0,True,0.002746272999957,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,bcvf_trust,16,0,True,0.0026623610000342524,"[-1.2163955000467028, -3.2958370324513475]"
mock,0,bcvf_trust,17,0,True,0.0027934910000340096,"[-1.2163955000467028, -3.2958370324513475]"
mock,0,bcvf_trust,18,0,True,0.002784864999966885,"[-1.788139396552426e-07, -60.00000022169442]"
mock,0,bcvf_trust,19,0,True,0.003004433999990397,"[-1.2163955000467028, -3.2958370324513475]"
