resolver,mode,case_id,correct,failure_stage,abstained,edges
frozen,A_oracle,later_amendment_override,1,none,0,0
frozen,A_oracle,buried_exception,1,none,0,0
frozen,A_oracle,conflicting_definitions,1,none,0,0
frozen,A_oracle,order_of_precedence,0,relationship,0,0
frozen,A_oracle,conflicting_versions,0,relationship,0,1
frozen,A_oracle,duplicate_amendment,1,none,0,0
frozen,A_oracle,ocr_corruption,0,extraction,0,0
frozen,A_oracle,scanned_annex,0,relationship,0,0
frozen,A_oracle,hidden_negation,0,packet_construction,0,0
frozen,A_oracle,conflicting_tables,0,relationship,0,0
frozen,A_oracle,cross_document_reference,1,none,0,0
frozen,A_oracle,circular_reference,0,relationship,0,0
frozen,A_oracle,missing_appendix,0,relationship,0,0
frozen,A_oracle,irrelevant_distractors,1,none,0,0
frozen,A_oracle,inconsistent_numbering,0,relationship,0,0
frozen,A_oracle,policy_override,0,relationship,0,0
frozen,B_bm25,later_amendment_override,1,none,0,0
frozen,B_bm25,buried_exception,1,none,0,0
frozen,B_bm25,conflicting_definitions,1,none,0,0
frozen,B_bm25,order_of_precedence,0,relationship,0,0
frozen,B_bm25,conflicting_versions,0,relationship,0,1
frozen,B_bm25,duplicate_amendment,1,none,0,0
frozen,B_bm25,ocr_corruption,0,extraction,0,0
frozen,B_bm25,scanned_annex,0,relationship,0,0
frozen,B_bm25,hidden_negation,0,packet_construction,0,0
frozen,B_bm25,conflicting_tables,0,relationship,0,0
frozen,B_bm25,cross_document_reference,1,none,0,0
frozen,B_bm25,circular_reference,0,relationship,0,0
frozen,B_bm25,missing_appendix,0,relationship,0,0
frozen,B_bm25,irrelevant_distractors,1,none,0,0
frozen,B_bm25,inconsistent_numbering,0,relationship,0,0
frozen,B_bm25,policy_override,0,relationship,0,0
rule,A_oracle,later_amendment_override,1,none,0,2
rule,A_oracle,buried_exception,1,none,0,1
rule,A_oracle,conflicting_definitions,1,none,0,1
rule,A_oracle,order_of_precedence,0,packet_construction,0,1
rule,A_oracle,conflicting_versions,0,governance,0,2
rule,A_oracle,duplicate_amendment,1,none,0,1
rule,A_oracle,ocr_corruption,0,extraction,0,0
rule,A_oracle,scanned_annex,0,governance,0,1
rule,A_oracle,hidden_negation,1,none,0,0
rule,A_oracle,conflicting_tables,1,none,0,1
rule,A_oracle,cross_document_reference,1,none,0,2
rule,A_oracle,circular_reference,0,relationship,0,2
rule,A_oracle,missing_appendix,0,governance,0,1
rule,A_oracle,irrelevant_distractors,1,none,0,0
rule,A_oracle,inconsistent_numbering,0,packet_construction,0,2
rule,A_oracle,policy_override,1,none,0,1
rule,B_bm25,later_amendment_override,1,none,0,2
rule,B_bm25,buried_exception,1,none,0,1
rule,B_bm25,conflicting_definitions,1,none,0,1
rule,B_bm25,order_of_precedence,0,packet_construction,0,1
rule,B_bm25,conflicting_versions,0,governance,0,2
rule,B_bm25,duplicate_amendment,1,none,0,1
rule,B_bm25,ocr_corruption,0,extraction,0,0
rule,B_bm25,scanned_annex,0,governance,0,1
rule,B_bm25,hidden_negation,1,none,0,0
rule,B_bm25,conflicting_tables,1,none,0,1
rule,B_bm25,cross_document_reference,1,none,0,2
rule,B_bm25,circular_reference,0,relationship,0,2
rule,B_bm25,missing_appendix,0,governance,0,1
rule,B_bm25,irrelevant_distractors,1,none,0,0
rule,B_bm25,inconsistent_numbering,0,packet_construction,0,2
rule,B_bm25,policy_override,1,none,0,1
graph_traversal,A_oracle,later_amendment_override,1,none,0,2
graph_traversal,A_oracle,buried_exception,1,none,0,1
graph_traversal,A_oracle,conflicting_definitions,1,none,0,1
graph_traversal,A_oracle,order_of_precedence,0,packet_construction,0,1
graph_traversal,A_oracle,conflicting_versions,1,none,1,2
graph_traversal,A_oracle,duplicate_amendment,1,none,0,1
graph_traversal,A_oracle,ocr_corruption,0,extraction,0,0
graph_traversal,A_oracle,scanned_annex,1,none,1,1
graph_traversal,A_oracle,hidden_negation,1,none,0,0
graph_traversal,A_oracle,conflicting_tables,1,none,0,1
graph_traversal,A_oracle,cross_document_reference,1,none,0,2
graph_traversal,A_oracle,circular_reference,1,none,1,2
graph_traversal,A_oracle,missing_appendix,1,none,1,1
graph_traversal,A_oracle,irrelevant_distractors,1,none,0,0
graph_traversal,A_oracle,inconsistent_numbering,0,packet_construction,0,2
graph_traversal,A_oracle,policy_override,1,none,0,1
graph_traversal,B_bm25,later_amendment_override,1,none,0,2
graph_traversal,B_bm25,buried_exception,1,none,0,1
graph_traversal,B_bm25,conflicting_definitions,1,none,0,1
graph_traversal,B_bm25,order_of_precedence,0,packet_construction,0,1
graph_traversal,B_bm25,conflicting_versions,1,none,1,2
graph_traversal,B_bm25,duplicate_amendment,1,none,0,1
graph_traversal,B_bm25,ocr_corruption,0,extraction,0,0
graph_traversal,B_bm25,scanned_annex,1,none,1,1
graph_traversal,B_bm25,hidden_negation,1,none,0,0
graph_traversal,B_bm25,conflicting_tables,1,none,0,1
graph_traversal,B_bm25,cross_document_reference,1,none,0,2
graph_traversal,B_bm25,circular_reference,1,none,1,2
graph_traversal,B_bm25,missing_appendix,1,none,1,1
graph_traversal,B_bm25,irrelevant_distractors,1,none,0,0
graph_traversal,B_bm25,inconsistent_numbering,0,packet_construction,0,2
graph_traversal,B_bm25,policy_override,1,none,0,1
