# BASE-CERT-LEX/1.0 phrase	band	neg_result
may	LOW	STATUS:INSUFFICIENT_EVIDENCE
might	LOW	STATUS:INSUFFICIENT_EVIDENCE
may not	LOW	POLARITY_FLIP
might not	LOW	POLARITY_FLIP
possibly	LOW	STATUS:INSUFFICIENT_EVIDENCE
could	LOW	STATUS:INSUFFICIENT_EVIDENCE
suggests	LOW	STATUS:INSUFFICIENT_EVIDENCE
likely	MEDIUM	POLARITY_FLIP
likely not	MEDIUM	POLARITY_FLIP
probably	MEDIUM	POLARITY_FLIP
probably not	MEDIUM	POLARITY_FLIP
apparently	MEDIUM	STATUS:INSUFFICIENT_EVIDENCE
reportedly	MEDIUM	STATUS:INSUFFICIENT_EVIDENCE
allegedly	LOW	STATUS:INSUFFICIENT_EVIDENCE
appears	MEDIUM	STATUS:INSUFFICIENT_EVIDENCE
indicates	MEDIUM	STATUS:INSUFFICIENT_EVIDENCE
highly probable	HIGH	STATUS:INSUFFICIENT_EVIDENCE
strongly supports	HIGH	STATUS:INSUFFICIENT_EVIDENCE
highly likely	HIGH	STATUS:INSUFFICIENT_EVIDENCE
almost certain	HIGH	STATUS:INSUFFICIENT_EVIDENCE
almost certainly	HIGH	STATUS:INSUFFICIENT_EVIDENCE
clearly	HIGH	STATUS:INSUFFICIENT_EVIDENCE
clearly not	HIGH	POLARITY_FLIP
not clearly	LOW	STATUS:INSUFFICIENT_EVIDENCE
not necessarily	LOW	STATUS:INSUFFICIENT_EVIDENCE
certain	HIGH	STATUS:INSUFFICIENT_EVIDENCE
certainly	HIGH	STATUS:INSUFFICIENT_EVIDENCE
definitive	HIGH	STATUS:INSUFFICIENT_EVIDENCE
definitively	HIGH	STATUS:INSUFFICIENT_EVIDENCE
proves	HIGH	STATUS:INSUFFICIENT_EVIDENCE
